t_seconds,0x0000,0x0001,0x0002,0x0003,0x0004,0x0005,0x0006,0x0007,0x0008,0x0009,0x000A,0x000B,0x000C,0x000D,0x000E,0x000F,0x0010,0x0011,0x0012,0x0013,0x0014,0x0015,0x0016,0x0017,0x0018,0x0019,0x001A,0x001B,0x001C,0x001D,0x001E,0x001F,0x0020,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002A,0x002B,0x002C,0x002D,0x002E,0x002F,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005A,0x005B,0x005C,0x005D,0x005E,0x005F,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006A,0x006B,0x006C,0x006D,0x006E,0x006F,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007A,0x007B,0x007C
5.9930,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6437,251,27,40,2034,18,17,59,5,0,0,0,0,0,2373,0,0,0,150,34,1258,1661,2992,13,0,13,229,23,758,-225,0,0,0,1386,2947,19,0,20,0,28,442,0,0,0,0,1027,0,993,0,993,0,1020,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.2779,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6437,536,27,40,2034,17,18,28,0,0,0,0,0,0,2380,0,0,0,0,0,0,1551,2902,13,0,13,218,21,696,89,0,0,0,1415,2912,19,0,20,0,28,466,0,0,0,0,1014,0,993,0,993,0,1007,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5622,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6437,821,27,40,2034,17,16,24,0,0,0,0,0,0,2361,0,0,0,0,0,0,1546,2780,13,0,13,213,21,654,96,0,0,0,1374,2814,19,0,20,0,28,408,0,0,0,0,1012,0,993,0,993,0,1005,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8491,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6693,101,27,40,2034,18,14,26,0,0,0,0,0,0,2361,0,0,0,0,0,0,1590,2922,13,0,13,211,21,708,49,0,0,0,1341,2661,19,0,19,0,26,369,0,0,0,0,1012,0,993,0,992,0,1005,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1360,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6693,386,27,40,2034,15,14,21,0,0,0,0,0,0,2342,0,0,0,0,0,0,1472,3069,13,0,13,186,20,652,269,0,0,0,1357,2919,20,0,20,0,27,370,0,0,0,0,1010,0,993,0,993,0,1003,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.4228,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6693,676,27,40,2034,21,16,41,0,0,0,0,0,0,2342,0,0,0,0,0,0,1681,3257,13,0,13,243,22,915,153,0,0,0,1342,2983,20,0,20,0,27,452,0,0,0,0,1016,0,993,0,993,0,1010,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7096,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6693,961,27,40,2034,17,16,32,0,0,0,0,0,0,2367,0,0,0,0,0,0,1655,3046,13,0,14,229,23,724,-353,0,0,0,1385,3146,20,0,20,0,28,414,0,0,0,0,1013,0,993,0,993,0,1007,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.9927,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6949,246,27,40,2034,14,14,20,0,0,0,0,0,0,2361,0,0,0,0,0,0,1542,3054,13,0,13,173,21,613,-133,0,0,0,1329,3014,20,0,20,0,26,379,0,0,0,0,1010,0,993,0,993,0,1003,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2797,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6949,526,27,41,2034,15,15,23,0,0,0,0,0,0,2342,0,0,0,0,0,0,1575,3021,13,0,13,180,21,622,-154,0,0,0,1353,3118,20,0,20,0,27,386,0,0,0,0,1011,0,993,0,993,0,1004,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5666,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6949,816,27,41,2034,18,14,47,0,0,0,0,0,0,2367,0,0,0,0,0,0,1591,3440,13,0,13,214,22,748,260,0,0,0,1343,3010,20,0,20,0,27,369,0,0,0,0,1021,0,993,0,993,0,1014,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8533,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7205,96,27,41,2034,14,13,19,0,0,0,0,0,0,2354,0,0,0,0,0,0,1494,3045,13,0,13,167,20,581,78,0,0,0,1328,3026,20,0,20,0,26,360,0,0,0,0,1008,0,993,0,993,0,1001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1398,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7205,386,27,41,2034,13,15,17,0,0,0,0,0,0,2380,0,0,0,0,0,0,1463,2800,13,0,13,171,20,542,49,0,0,0,1360,2869,20,0,19,0,27,422,0,0,0,0,1007,0,993,0,992,0,1000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.4241,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7205,671,27,41,2034,15,14,24,0,0,0,0,0,0,2361,0,0,0,0,0,0,1525,2814,13,0,13,200,20,616,-52,0,0,0,1340,2880,20,0,20,0,26,371,0,0,0,0,1012,0,993,0,993,0,1006,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.7111,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7205,956,27,41,2034,14,13,16,0,0,0,0,0,0,2354,0,0,0,0,0,0,1509,2787,13,0,13,179,20,564,10,0,0,0,1313,2887,20,0,20,0,26,352,0,0,0,0,1008,0,993,0,993,0,1001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9978,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7461,241,27,41,2034,13,12,13,0,0,0,0,0,0,2367,0,0,0,0,0,0,1503,3025,13,0,13,153,20,529,-58,0,0,0,1312,2970,20,0,20,0,26,323,0,0,0,0,1006,0,993,0,993,0,999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.2842,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7461,526,27,41,2034,12,13,13,0,0,0,0,0,0,2367,0,0,0,0,0,0,1428,2944,13,0,13,149,19,469,34,0,0,0,1329,2971,20,0,20,0,27,343,0,0,0,0,1006,0,993,0,993,0,999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5706,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7461,811,27,41,2034,12,13,13,0,0,0,0,0,0,2354,0,0,0,0,0,0,1453,2947,13,0,13,147,19,489,23,0,0,0,1347,3023,20,0,20,0,27,355,0,0,0,0,1006,0,993,0,993,0,999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8575,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7717,96,27,41,2034,13,14,19,0,0,0,0,0,0,2380,0,0,0,0,0,0,1465,2924,13,0,13,160,20,497,-20,0,0,0,1305,3225,20,0,20,0,26,404,0,0,0,0,1008,0,993,0,993,0,1001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.1441,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,7717,381,27,41,2034,13,13,14,0,0,0,0,0,0,2367,0,0,0,0,0,0,1494,2973,13,0,13,147,20,512,-60,0,0,0,1295,3158,20,0,20,0,26,372,0,0,0,0,1006,0,993,0,993,0,999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
