t_seconds,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050
4.6599,794,3096,2593,51,13,2049,11,12,13,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1869,3005,6,0,6,291,12,1047,5,0
4.7530,794,3096,2593,146,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1847,3016,6,0,6,294,12,987,30,0
4.8457,794,3096,2593,236,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1852,3018,6,0,6,295,12,962,-23,0
4.9401,794,3096,2593,326,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1841,3018,6,0,6,296,12,942,31,0
5.0353,794,3096,2593,421,13,2049,11,12,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1841,3018,6,0,6,296,12,942,31,0
5.1296,794,3096,2593,516,13,2049,11,12,13,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1790,2933,6,0,6,303,12,971,-64,0
5.2243,794,3096,2593,611,13,2049,11,13,13,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1840,3078,6,0,6,302,12,1061,-8,0
5.3198,794,3096,2593,706,13,2049,11,13,14,13,0,0,0,0,0,0,2443,0,0,0,0,0,0,1869,3113,6,0,6,304,12,1030,-74,0
5.4145,794,3096,2593,801,13,2049,11,12,14,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1918,2983,6,0,6,306,12,1044,45,0
5.5089,794,3096,2593,896,13,2049,11,12,13,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1814,2961,6,0,6,305,12,1022,-39,0
5.6031,794,3096,2593,991,13,2049,11,12,13,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1892,3157,6,0,6,301,12,1039,10,0
5.6973,794,3096,2849,86,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1883,3126,6,0,6,300,12,1019,-101,0
5.7917,794,3096,2849,176,13,2049,11,12,13,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1890,3046,6,0,6,307,12,1009,-43,0
5.8862,794,3096,2849,271,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1949,2874,6,0,6,301,13,1051,33,0
5.9806,794,3096,2849,361,13,2049,11,12,13,11,0,0,0,0,0,0,2430,0,0,0,0,0,0,1867,2895,6,0,6,292,12,954,40,0
6.0752,794,3096,2849,456,13,2049,11,11,12,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1867,2883,6,0,6,289,12,948,62,0
6.1697,794,3096,2849,551,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1878,2957,6,0,6,294,12,960,94,0
6.2639,794,3096,2849,646,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1890,2878,6,0,6,290,12,969,110,0
6.3585,794,3096,2849,741,13,2049,11,12,11,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1920,2975,6,0,6,299,13,1005,115,0
6.4527,794,3096,2849,836,13,2049,11,11,11,12,0,0,0,0,0,0,2411,0,0,0,0,0,0,1829,2988,6,0,6,282,12,930,29,0
6.5470,794,3096,2849,931,13,2049,11,11,13,11,0,0,0,0,0,0,2436,0,0,0,0,0,0,1875,2903,6,0,6,297,12,972,7,0
6.6416,794,3096,3105,26,13,2049,11,11,12,11,0,0,0,0,0,0,2417,0,0,0,0,0,0,1856,2896,6,0,6,288,12,940,92,0
6.7361,794,3096,3105,121,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1831,2879,6,0,6,292,12,970,87,0
6.8304,794,3096,3105,211,13,2049,11,12,12,11,0,0,0,0,0,0,2430,0,0,0,0,0,0,1763,2886,6,0,6,282,12,1021,72,0
6.9246,794,3096,3105,306,13,2049,11,12,13,13,0,0,0,0,0,0,2443,0,0,0,0,0,0,1793,2888,6,0,6,280,12,974,-2,0
7.0192,794,3096,3105,396,13,2049,11,12,13,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1793,2888,6,0,6,280,12,974,-2,0
7.1139,794,3096,3105,491,13,2049,11,13,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1910,3115,6,0,6,291,13,1045,85,0
7.2087,794,3096,3105,586,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1901,3073,6,0,6,300,12,1013,79,0
7.3034,794,3096,3105,681,13,2049,11,12,12,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1858,3128,6,0,6,297,12,968,-26,0
7.3980,794,3096,3105,776,13,2049,11,12,11,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1814,3067,6,0,6,295,12,984,8,0
7.4923,794,3096,3105,871,13,2049,11,12,11,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1823,3126,6,0,6,295,12,1030,-13,0
7.5866,794,3096,3105,966,13,2049,11,11,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1803,2977,6,0,6,285,12,940,-9,0
7.6804,794,3096,3361,61,13,2049,11,12,12,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1865,3062,6,0,6,295,12,977,87,0
7.7752,794,3096,3361,156,13,2049,11,12,12,13,0,0,0,0,0,0,2443,0,0,0,0,0,0,1908,2984,6,0,6,296,12,1006,112,0
7.8694,794,3096,3361,246,13,2049,11,13,11,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1966,2988,6,0,6,308,13,1066,28,0
7.9636,794,3096,3361,341,13,2049,11,13,12,12,0,0,0,0,0,0,2474,0,0,0,0,0,0,1906,3174,6,0,6,307,12,1148,-32,0
8.0580,794,3096,3361,436,13,2049,11,12,12,11,0,0,0,0,0,0,2436,0,0,0,0,0,0,1840,3055,6,0,6,294,12,1037,-75,0
8.1522,794,3096,3361,526,13,2049,11,12,11,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1838,3007,6,0,6,309,12,1018,-7,0
8.2466,794,3096,3361,621,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1811,2876,6,0,6,309,12,971,1,0
8.3408,794,3096,3361,716,13,2049,11,12,12,12,0,0,0,0,0,0,2411,0,0,0,0,0,0,1798,2868,6,0,6,308,12,985,26,0
8.4350,794,3096,3361,811,13,2049,11,12,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1790,2873,6,0,6,294,12,992,-20,0
8.5292,794,3096,3361,906,13,2049,11,12,13,13,0,0,0,0,0,0,2462,0,0,0,0,0,0,1812,3030,6,0,6,297,12,996,66,0
8.6236,794,3096,3617,1,13,2049,11,12,12,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1798,2892,6,0,6,295,12,961,6,0
8.7179,794,3096,3617,96,13,2049,11,13,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1890,3135,6,0,6,296,12,1095,-39,0
8.8121,794,3096,3617,186,13,2049,11,12,11,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1836,2911,6,0,6,296,12,977,-33,0
8.9064,794,3096,3617,276,13,2049,11,12,11,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1836,2911,6,0,6,296,12,977,-33,0
9.0006,794,3096,3617,371,13,2049,11,11,11,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1745,2813,6,0,6,279,11,876,0,0
9.0951,794,3096,3617,466,13,2049,11,11,11,11,0,0,0,0,0,0,2436,0,0,0,0,0,0,1851,2923,6,0,6,284,12,957,81,0
9.1896,794,3096,3617,561,13,2049,11,11,13,11,0,0,0,0,0,0,2417,0,0,0,0,0,0,1782,2964,6,0,6,279,12,941,0,0
9.2844,794,3096,3617,656,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1792,2882,6,0,6,295,12,970,51,0
9.3789,794,3096,3617,751,13,2049,11,12,13,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1773,2976,6,0,6,293,11,985,-66,0
9.4733,794,3096,3617,846,13,2049,11,14,13,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1875,3352,6,0,6,302,12,1176,12,0
9.5680,794,3096,3617,941,13,2049,11,13,12,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1836,3021,6,0,6,309,12,1088,72,0
9.6623,794,3096,3873,36,13,2049,11,13,11,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1935,3136,6,0,6,302,13,1104,72,0
9.7566,794,3096,3873,126,13,2049,11,12,12,13,0,0,0,0,0,0,2443,0,0,0,0,0,0,1829,3081,6,0,6,287,12,980,-30,0
9.8508,794,3096,3873,221,13,2049,11,13,12,14,0,0,0,0,0,0,2424,0,0,0,0,0,0,1887,3069,6,0,6,289,13,1003,17,0
9.9451,794,3096,3873,311,13,2049,11,13,12,14,0,0,0,0,0,0,2424,0,0,0,0,0,0,1975,3056,6,0,6,286,13,1074,13,0
10.0396,794,3096,3873,406,13,2049,11,13,12,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1930,3087,6,0,6,307,13,1075,45,0
10.1338,794,3096,3873,501,13,2049,11,13,11,14,0,0,0,0,0,0,2443,0,0,0,0,0,0,1831,3044,6,0,6,304,12,1150,-83,0
10.2282,794,3096,3873,596,13,2049,11,13,12,14,0,0,0,0,0,0,2430,0,0,0,0,0,0,1808,2996,6,0,6,293,12,1112,-84,0
10.3225,794,3096,3873,691,13,2049,11,13,13,13,0,0,0,0,0,0,2455,0,0,0,0,0,0,1779,3067,6,0,6,299,12,1170,-205,0
